legacy_url,recovered_path,disposition,target_url,reason,confidence
http://kotsistravel.gr/index.php/,/index.php/,301,/,Homepage variant; consolidate to the canonical root,high
http://kotsistravel.gr/index.php,/index.php,301,/,Homepage variant; consolidate to the canonical root,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01.html,301,/tours/road-trips/,Road tours,high
http://kotsistravel.gr/index.php/2011-11-19-14-23-19.html,/index.php/2011-11-19-14-23-19.html,301,/certifications/,Certifications,high
http://kotsistravel.gr/index.php/2011-11-19-14-23-19.html?tmpl=component&print=1&page=,/index.php/2011-11-19-14-23-19.html,410,,Print view of an article; duplicate of the canonical page,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/301-??????-???-???????.html,/index.php/component/k2/301-μιλανο-απο-κερκυρα.html,MERGE+301,/air-tickets/airlines/,Article 'ΜΙΛΑΝΟ ΑΠΟ ΚΕΡΚΥΡΑ' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/304-???????????_?????.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/304-???????????_?????.html,MERGE+301,/air-tickets/,Article 'ΘΕΣΣΑΛΟΝΙΚΗ - ΧΑΝΙΑ' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/308-?????_?????.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/308-?????_?????.html,MERGE+301,/air-tickets/,Article 'ΠΑΤΡΑ - ΠΑΦΟΣ' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/302-???????_???????????_?????????.html,/index.php/component/k2/302-μπλονια_θεσσαλονικη_εισιτηρια.html,MERGE+301,/air-tickets/airlines/,Article 'ΜΠΟΛΟΝΙΑ ΑΠΟ ΘΕΣΣΑΛΟΝΙΚΗ' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/300-????_??????????_???????.html,/index.php/component/k2/300-ρωμη_αεροδρομιο_κερκυρα.html,MERGE+301,/air-tickets/airlines/,Article 'ΚΕΡΚΥΡΑ - ΡΩΜΗ ΑΠΟ 65€' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/314-??????_???_?????????.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/314-??????_???_?????????.html,MERGE+301,/holiday-packages/,Article 'Ελλάδα και Εξωτερικο' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/309-aegean_airlines.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/309-aegean_airlines.html,MERGE+301,/air-tickets/airlines/,Article 'Aegean Airlines' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/315-aegean.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/315-aegean.html,MERGE+301,/air-tickets/airlines/,Article 'Aegean' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/331-??????????_???????_2015.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/331-??????????_???????_2015.html,MERGE+301,/air-tickets/,Article 'Προορισμοί από Κέρκυρα για το 2015' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/311-??????_???????_??_?????????.html,/index.php/2012-03-07-02-54-47/2013-04-05-22-29-01/311-??????_???????_??_?????????.html,MERGE+301,/air-tickets/,Article 'Βόρεια Αμερική με επιστροφή' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/220-????????-????????-8-??????.html,/index.php/2012-03-07-02-54-47/all-tours/220-ελβετικό-πανόραμα-8-ημέρες.html,301,/tours/road-trips/,Road tours,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/221-?????????????-?????-????-???????????-????-???????.html,/index.php/2012-03-07-02-54-47/all-tours/221-κοσμοπολίτικη-κυανή-ακτή-ανοιξιάτικη-λάκο-ματζορε.html,301,/tours/road-trips/,Road tours,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours.html,/index.php/2012-03-07-02-54-47/all-tours.html,301,/tours/road-trips/,Road tours,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours.html?start=9,/index.php/2012-03-07-02-54-47/all-tours.html,301,/tours/road-trips/,Paginated category view; folds into its hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/219-??????-???????-???????.html,/index.php/2012-03-07-02-54-47/all-tours/219-λίμνες-βορείου-ιταλίας.html,301,/tours/road-trips/,Road tours,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/300-????_??????????_???????.html,/index.php/component/k2/300-ρωμη_αεροδρομιο_κερκυρα.html,MERGE+301,/air-tickets/airlines/,Article 'ΚΕΡΚΥΡΑ - ΡΩΜΗ ΑΠΟ 65€' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/301-??????-???-???????.html,/index.php/component/k2/301-μιλανο-απο-κερκυρα.html,MERGE+301,/air-tickets/airlines/,Article 'ΜΙΛΑΝΟ ΑΠΟ ΚΕΡΚΥΡΑ' merged into its cluster hub,high
http://kotsistravel.gr/index.php/2012-03-07-02-54-47/all-tours/302-???????_???????????_?????????.html,/index.php/component/k2/302-μπλονια_θεσσαλονικη_εισιτηρια.html,MERGE+301,/air-tickets/airlines/,Article 'ΜΠΟΛΟΝΙΑ ΑΠΟ ΘΕΣΣΑΛΟΝΙΚΗ' merged into its cluster hub,high
